Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
12.92,706.78,-77.31
16.68,558.40,-76.61
21.54,445.07,-75.06
27.83,357.23,-73.55
35.94,287.31,-71.54
46.42,233.74,-69.44
59.95,190.49,-67.01
77.43,156.86,-64.42
100.00,130.05,-61.74
129.15,109.33,-58.94
166.81,92.60,-56.13
215.44,78.90,-53.37
278.26,67.61,-50.42
359.38,58.24,-47.26
464.16,50.68,-43.83
599.48,44.53,-40.05
774.26,39.74,-35.88
1000.00,36.03,-31.59
1291.55,33.19,-27.35
1668.10,31.13,-23.32
2154.43,29.61,-19.56
2782.56,28.52,-16.17
3593.81,27.73,-13.30
4641.59,27.19,-10.82
5994.84,26.76,-8.66
7742.64,26.45,-6.98
10000.00,26.25,-5.75
12915.50,26.11,-4.67
16681.01,25.96,-3.77
21544.35,25.88,-3.17
27825.59,25.95,-2.58
35938.14,25.85,-2.44
46415.89,25.69,-2.40
59948.43,25.61,-2.30
77426.37,25.59,-2.47
100000.00,25.50,-2.35


Well: C1 - MDCK II
Spectrum: Run.13 measured at 11/01/2008 8:56:40 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7215.76,-81.63
1.29,5685.41,-81.94
1.67,4510.10,-81.59
2.15,3559.81,-82.31
2.78,2819.96,-80.75
3.59,2210.96,-81.37
4.64,1762.78,-81.12
5.99,1418.40,-80.57
7.74,1104.79,-79.46
10.00,881.24,-79.09
12.92,699.42,-77.84
16.68,558.28,-76.54
21.54,445.14,-75.09
27.83,356.96,-73.63
35.94,286.39,-71.69
46.42,232.73,-69.39
59.95,189.74,-67.00
77.43,156.51,-64.47
100.00,130.34,-61.72
129.15,109.32,-58.86
166.81,92.48,-56.16
215.44,78.80,-53.39
278.26,67.48,-50.41
359.38,58.28,-47.25
464.16,50.65,-43.82
599.48,44.56,-39.97
774.26,39.73,-35.87
1000.00,36.00,-31.55
1291.55,33.18,-27.39
1668.10,31.10,-23.28
2154.43,29.64,-19.47
2782.56,28.51,-16.18
3593.81,27.73,-13.25
4641.59,27.16,-10.74
5994.84,26.74,-8.77
7742.64,26.44,-7.10
10000.00,26.24,-5.69
12915.50,26.05,-4.57
16681.01,25.94,-3.86
21544.35,25.90,-3.24
27825.59,25.87,-2.61
35938.14,25.81,-2.52
46415.89,25.65,-2.49
59948.43,25.54,-2.45
77426.37,25.51,-2.46
100000.00,25.49,-2.56


Well: C1 - MDCK II
Spectrum: Run.14 measured at 11/01/2008 9:29:53 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7229.66,-81.57
1.29,5682.88,-81.64
1.67,4485.33,-81.65
2.15,3555.06,-81.35
2.78,2829.43,-81.46
3.59,2216.49,-81.08
4.64,1743.43,-80.86
5.99,1396.87,-79.80
7.74,1104.08,-79.57
10.00,877.05,-78.84
12.92,700.93,-77.24
16.68,556.44,-76.30
21.54,443.67,-75.10
27.83,356.20,-73.36
35.94,286.14,-71.56
46.42,232.33,-69.41
59.95,189.43,-66.95
77.43,156.09,-64.31
100.00,129.77,-61.65
129.15,109.06,-58.88
166.81,92.34,-56.06
215.44,78.63,-53.25
278.26,67.42,-50.31
359.38,58.12,-47.20
464.16,50.54,-43.68
599.48,44.47,-39.86
774.26,39.67,-35.75
1000.00,35.93,-31.52
1291.55,33.21,-27.22
1668.10,31.09,-23.14
2154.43,29.65,-19.40
2782.56,28.54,-16.11
3593.81,27.73,-13.32
4641.59,27.21,-10.76
5994.84,26.75,-8.77
7742.64,26.52,-7.11
10000.00,26.22,-5.79
12915.50,26.08,-4.65
16681.01,25.98,-3.88
21544.35,25.88,-3.29
27825.59,25.87,-2.71
35938.14,25.81,-2.54
46415.89,25.63,-2.55
59948.43,25.56,-2.55
77426.37,25.45,-2.53
100000.00,25.40,-2.63


Well: C1 - MDCK II
Spectrum: Run.15 measured at 11/01/2008 10:03:06 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7177.14,-81.58
1.29,5697.35,-81.55
1.67,4500.58,-81.42
2.15,3564.28,-81.24
2.78,2808.27,-80.93
3.59,2225.30,-80.94
4.64,1751.09,-80.45
5.99,1392.66,-79.93
7.74,1112.51,-80.07
10.00,883.05,-78.26
12.92,697.78,-77.69
16.68,555.86,-76.86
21.54,443.92,-75.27
27.83,354.19,-73.48
35.94,285.70,-71.54
46.42,231.71,-69.36
59.95,189.31,-66.94
77.43,156.38,-64.26
100.00,129.90,-61.59
129.15,109.07,-58.85
166.81,92.29,-56.04
215.44,78.62,-53.23
278.26,67.40,-50.29
359.38,58.14,-47.16
464.16,50.58,-43.66
599.48,44.53,-39.80
774.26,39.76,-35.72
1000.00,36.07,-31.35
1291.55,33.27,-27.12
1668.10,31.18,-23.04
2154.43,29.69,-19.36
2782.56,28.62,-15.99
3593.81,27.86,-13.20
4641.59,27.24,-10.71
5994.84,26.87,-8.72
7742.64,26.58,-6.99
10000.00,26.35,-5.75
12915.50,26.18,-4.73
16681.01,26.03,-3.96
21544.35,25.98,-3.35
27825.59,25.95,-2.80
35938.14,25.91,-2.60
46415.89,25.70,-2.66
59948.43,25.63,-2.57
77426.37,25.54,-2.66
100000.00,25.46,-2.69


Well: C1 - MDCK II
Spectrum: Run.16 measured at 11/01/2008 10:36:18 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7190.36,-81.45
1.29,5659.89,-81.64
1.67,4469.06,-81.52
2.15,3559.07,-81.57
2.78,2813.02,-81.00
3.59,2204.26,-81.50
4.64,1743.50,-80.69
5.99,1378.06,-80.29
7.74,1091.99,-80.06
10.00,878.90,-78.04
12.92,697.03,-77.81
16.68,554.75,-76.60
21.54,443.41,-75.38
