Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
100.00,129.58,-61.12
129.15,108.77,-58.41
166.81,92.12,-55.58
215.44,78.56,-52.71
278.26,67.45,-49.70
359.38,58.33,-46.53
464.16,50.82,-42.98
599.48,44.80,-39.02
774.26,40.12,-34.91
1000.00,36.54,-30.63
1291.55,33.83,-26.37
1668.10,31.84,-22.35
2154.43,30.36,-18.75
2782.56,29.31,-15.58
3593.81,28.55,-12.82
4641.59,28.02,-10.50
5994.84,27.58,-8.68
7742.64,27.31,-7.18
10000.00,27.04,-6.07
12915.50,26.88,-5.15
16681.01,26.69,-4.47
21544.35,26.51,-4.08
27825.59,26.46,-3.63
35938.14,26.27,-3.59
46415.89,25.95,-3.62
59948.43,25.73,-3.53
77426.37,25.58,-3.47
100000.00,25.39,-3.39


Well: C1 - MDCK II
Spectrum: Run.21 measured at 12/01/2008 1:22:23 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7111.08,-81.70
1.29,5619.71,-81.69
1.67,4423.18,-81.37
2.15,3555.61,-81.19
2.78,2796.78,-81.60
3.59,2210.35,-80.97
4.64,1750.54,-80.69
5.99,1384.36,-80.18
7.74,1085.54,-79.70
10.00,870.13,-78.01
12.92,692.75,-76.99
16.68,550.10,-76.04
21.54,441.52,-74.90
27.83,351.76,-73.20
35.94,284.33,-71.28
46.42,230.57,-68.99
59.95,188.84,-66.55
77.43,155.29,-63.95
100.00,129.25,-61.18
129.15,108.78,-58.29
166.81,92.28,-55.53
215.44,78.67,-52.60
278.26,67.59,-49.56
359.38,58.45,-46.30
464.16,51.06,-42.64
599.48,45.11,-38.82
774.26,40.42,-34.62
1000.00,36.83,-30.41
1291.55,34.18,-26.18
1668.10,32.21,-22.25
2154.43,30.73,-18.60
2782.56,29.68,-15.51
3593.81,28.96,-12.81
4641.59,28.39,-10.67
5994.84,27.96,-8.83
7742.64,27.65,-7.36
10000.00,27.35,-6.28
12915.50,27.17,-5.42
16681.01,26.92,-4.94
21544.35,26.77,-4.46
27825.59,26.58,-4.05
35938.14,26.34,-4.05
46415.89,25.98,-4.02
59948.43,25.75,-3.90
77426.37,25.54,-3.79
100000.00,25.40,-3.70


Well: C1 - MDCK II
Spectrum: Run.22 measured at 12/01/2008 1:55:36 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7103.71,-81.42
1.29,5632.87,-81.46
1.67,4442.91,-81.46
2.15,3511.20,-81.32
2.78,2780.53,-81.15
3.59,2197.77,-80.90
4.64,1727.75,-80.85
5.99,1367.59,-80.16
7.74,1086.24,-80.31
10.00,871.91,-77.94
12.92,692.22,-76.76
16.68,551.26,-76.00
21.54,438.65,-74.82
27.83,353.18,-73.27
35.94,284.73,-71.13
46.42,230.63,-68.99
59.95,188.30,-66.39
77.43,155.76,-63.73
100.00,129.82,-60.89
129.15,109.20,-58.09
166.81,92.34,-55.28
215.44,78.87,-52.30
278.26,67.74,-49.21
359.38,58.66,-45.99
464.16,51.31,-42.35
599.48,45.36,-38.38
774.26,40.75,-34.19
1000.00,37.22,-29.98
1291.55,34.56,-25.78
1668.10,32.61,-21.94
2154.43,31.16,-18.38
2782.56,30.16,-15.30
3593.81,29.37,-12.68
4641.59,28.78,-10.63
5994.84,28.38,-8.94
7742.64,28.06,-7.67
10000.00,27.78,-6.58
12915.50,27.46,-5.85
16681.01,27.26,-5.34
21544.35,26.94,-5.04
27825.59,26.76,-4.59
35938.14,26.41,-4.52
46415.89,26.02,-4.35
59948.43,25.76,-4.25
77426.37,25.56,-4.05
100000.00,25.34,-3.89


Well: C1 - MDCK II
Spectrum: Run.23 measured at 12/01/2008 2:28:49 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7056.01,-81.73
1.29,5614.90,-81.55
1.67,4426.27,-81.59
2.15,3508.13,-81.48
2.78,2793.65,-81.37
3.59,2185.09,-80.77
4.64,1740.45,-80.68
5.99,1366.45,-80.32
7.74,1060.99,-79.99
10.00,871.73,-78.51
12.92,691.09,-77.47
16.68,550.87,-76.04
21.54,441.48,-74.61
27.83,352.01,-73.11
35.94,284.35,-71.15
46.42,230.63,-68.76
59.95,188.61,-66.35
77.43,155.63,-63.60
100.00,129.79,-60.79
129.15,109.22,-57.87
166.81,92.62,-54.93
215.44,79.09,-51.95
278.26,68.06,-48.88
359.38,59.01,-45.52
464.16,51.62,-41.86
599.48,45.82,-37.89
774.26,41.22,-33.69
1000.00,37.70,-29.50
1291.55,35.11,-25.33
1668.10,33.15,-21.61
2154.43,31.71,-18.12
2782.56,30.72,-15.20
3593.81,29.94,-12.72
4641.59,29.36,-10.73
5994.84,28.93,-9.10
7742.64,28.58,-7.91
10000.00,28.23,-7.03
12915.50,27.91,-6.42
16681.01,27.56,-5.96
21544.35,27.19,-5.63
27825.59,26.88,-5.20
35938.14,26.47,-4.91
46415.89,26.08,-5.00
59948.43,25.74,-4.56
77426.37,25.47,-4.26
100000.00,25.34,-4.07


Well: C1 - MDCK II
Spectrum: Run.24 measured at 12/01/2008 3:02:02 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7069.87,-81.33
1.29,5614.63,-81.40
1.67,4409.35,-81.12
2.15,3497.96,-81.48
2.78,2775.20,-81.14
3.59,2202.63,-80.73
4.64,1724.28,-80.32
5.99,1377.46,-80.15
7.74,1083.36,-79.80
10.00,868.47,-77.97
12.92,692.43,-76.95
16.68,545.92,-75.41
21.54,437.43,-74.51
27.83,352.17,-72.79
35.94,283.88,-70.88
46.42,230.26,-68.49
59.95,188.48,-66.00
77.43,155.44,-63.29
100.00,129.42,-60.42
129.15,109.26,-57.50
166.81,92.70,-54.53
215.44,79.29,-51.49
278.26,68.28,-48.37
359.38,59.36,-44.93
464.16,52.07,-41.22
599.48,46.29,-37.18
774.26,41.76,-33.00
1000.00,38.32,-28.89
1291.55,35.77,-24.88
1668.10,33.88,-21.15
2154.43,32.46,-17.83
2782.56,31.39,-15.15
3593.81,30.67,-12.90
4641.59,30.03,-10.96
5994.84,29.52,-9.47
7742.64,29.14,-8.44
10000.00,28.71,-7.69
12915.50,28.26,-7.11
16681.01,27.78,-6.62
21544.35,27.33,-6.33
27825.59,26.90,-5.74
35938.14,26.42,-5.44
46415.89,25.96,-5.25
59948.43,25.68,-4.84
77426.37,25.41,-4.56
100000.00,25.23,-4.18


Well: C1 - MDCK II
Spectrum: Run.25 measured at 12/01/2008 3:35:15 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7100.47,-81.56
1.29,5590.85,-81.65
1.67,4433.65,-81.38
2.15,3501.11,-81.35
2.78,2759.53,-81.00
3.59,2193.93,-80.77
4.64,1730.95,-80.18
5.99,1375.37,-80.14
7.74,1080.74,-79.12
10.00,867.18,-78.30
12.92,689.70,-76.76
16.68,548.85,-76.17
21.54,437.90,-74.63
27.83,351.46,-72.71
35.94,283.83,-70.88
46.42,230.46,-68.47
59.95,189.07,-65.88
77.43,155.83,-63.07
100.00,130.04,-60.12
129.15,109.63,-57.18
166.81,93.17,-54.13
215.44,79.80,-50.99
278.26,68.88,-47.73
359.38,59.97,-44.22
464.16,52.82,-40.44
599.48,47.10,-36.46
774.26,42.68,-32.31
1000.00,39.31,-28.22
1291.55,36.76,-24.35
1668.10,34.89,-20.91
2154.43,33.50,-17.79
2782.56,32.39,-15.17
3593.81,31.59,-13.04
4641.59,30.92,-11.38
5994.84,30.41,-10.18
7742.64,29.84,-9.29
10000.00,29.25,-8.70
12915.50,28.66,-8.19
16681.01,28.05,-7.77
21544.35,27.45,-7.20
27825.59,27.00,-6.66
35938.14,26.52,-6.20
46415.89,26.01,-5.75
59948.43,25.65,-5.19
77426.37,25.37,-4.79
100000.00,25.19,-4.39


Well: C1 - MDCK II
Spectrum: Run.26 measured at 12/01/2008 4:08:28 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7079.53,-81.54
1.29,5610.53,-81.71
1.67,4416.00,-81.76
2.15,3502.87,-81.39
2.78,2775.61,-81.29
3.59,2180.86,-80.85
4.64,1723.41,-80.33
5.99,1373.06,-80.29
7.74,1087.13,-79.03
10.00,867.88,-78.42
12.92,692.44,-76.84
16.68,547.95,-75.70
21.54,437.39,-74.31
27.83,352.94,-72.34
35.94,283.65,-70.42
46.42,230.37,-68.23
59.95,188.53,-65.48
77.43,156.26,-62.72
100.00,130.54,-59.74
129.15,109.87,-56.64
166.81,93.55,-53.49
215.44,80.32,-50.32
278.26,69.48,-46.93
359.38,60.74,-43.34
464.16,53.71,-39.53
599.48,48.13,-35.57
774.26,43.81,-31.50
1000.00,40.49,-27.59
1291.55,38.01,-23.86
1668.10,36.08,-20.53
2154.43,34.72,-17.78
2782.56,33.61,-15.42
3593.81,32.71,-13.56
4641.59,31.93,-12.10
5994.84,31.25,-11.13
7742.64,30.53,-10.52
10000.00,29.74,-9.89
12915.50,29.00,-9.51
16681.01,28.26,-8.91
21544.35,27.50,-8.24
27825.59,26.96,-7.39
35938.14,26.45,-6.66
46415.89,25.94,-6.10
59948.43,25.56,-5.48
77426.37,25.31,-4.91
100000.00,25.12,-4.48


Well: C1 - MDCK II
Spectrum: Run.27 measured at 12/01/2008 4:41:41 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7015.72,-81.63
1.29,5581.06,-81.29
1.67,4400.43,-81.52
2.15,3502.46,-81.21
2.78,2753.08,-80.74
3.59,2169.49,-80.93
4.64,1722.99,-80.07
5.99,1367.28,-79.96
7.74,1073.10,-79.83
10.00,870.31,-78.19
12.92,690.19,-76.71
16.68,549.51,-75.87
21.54,438.00,-74.10
27.83,351.80,-72.53
35.94,283.87,-70.22
46.42,230.68,-67.86
59.95,189.13,-65.14
77.43,156.48,-62.25
100.00,131.01,-59.24
129.15,110.54,-55.99
166.81,94.23,-52.72
215.44,81.04,-49.41
278.26,70.50,-45.93
359.38,61.81,-42.23
464.16,54.95,-38.40
599.48,49.45,-34.51
774.26,45.30,-30.57
1000.00,42.04,-26.75
1291.55,39.59,-23.40
1668.10,37.71,-20.39
2154.43,36.24,-17.86
2782.56,35.06,-15.74
3593.81,34.01,-14.26
4641.59,33.11,-13.14
5994.84,32.20,-12.34
7742.64,31.22,-11.86
10000.00,30.23,-11.31
12915.50,29.26,-10.67
16681.01,28.35,-9.85
21544.35,27.56,-8.89
27825.59,26.97,-7.96
35938.14,26.39,-7.06
46415.89,25.87,-6.40
59948.43,25.56,-5.71
77426.37,25.25,-5.12
100000.00,25.00,-4.56


Well: C1 - MDCK II
Spectrum: Run.28 measured at 12/01/2008 5:14:55 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7048.27,-81.34
1.29,5585.13,-81.37
1.67,4393.49,-81.52
2.15,3473.90,-81.37
2.78,2759.70,-80.83
3.59,2190.24,-80.96
4.64,1715.15,-80.00
5.99,1361.86,-79.93
7.74,1069.52,-78.96
10.00,866.73,-78.04
12.92,684.02,-76.99
16.68,544.60,-75.33
21.54,439.08,-73.95
27.83,352.07,-72.04
35.94,283.91,-70.02
46.42,230.78,-67.49
59.95,189.40,-64.61
77.43,157.05,-61.70
100.00,131.60,-58.52
129.15,111.28,-55.21
166.81,95.22,-51.80
215.44,82.22,-48.32
278.26,71.76,-44.72
359.38,63.28,-41.02
464.16,56.55,-37.24
599.48,51.24,-33.38
774.26,47.10,-29.76
1000.00,43.92,-26.24
1291.55,41.42,-23.14
1668.10,39.52,-20.47
2154.43,37.96,-18.27
2782.56,36.62,-16.66
3593.81,35.47,-15.41
4641.59,34.29,-14.52
5994.84,33.10,-14.01
7742.64,31.81,-13.39
10000.00,30.54,-12.93
12915.50,29.42,-12.03
16681.01,28.33,-11.07
21544.35,27.48,-9.91
27825.59,26.82,-8.58
35938.14,26.27,-7.70
46415.89,25.78,-6.84
59948.43,25.39,-6.03
77426.37,25.18,-5.34
100000.00,25.00,-4.76


Well: C1 - MDCK II
Spectrum: Run.29 measured at 12/01/2008 5:48:08 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7040.44,-81.38
1.29,5580.10,-81.24
1.67,4403.32,-81.27
2.15,3494.16,-81.06
2.78,2730.51,-81.17
3.59,2190.90,-80.67
4.64,1715.69,-80.63
5.99,1367.67,-79.23
7.74,1091.61,-78.77
10.00,866.99,-78.20
12.92,687.10,-76.83
16.68,548.66,-75.58
21.54,439.62,-73.86
27.83,353.00,-71.67
35.94,284.82,-69.59
46.42,232.09,-66.97
59.95,190.45,-64.15
77.43,158.03,-61.01
100.00,132.91,-57.63
129.15,112.55,-54.20
166.81,96.55,-50.63
215.44,83.74,-47.05
278.26,73.47,-43.44
359.38,65.21,-39.67
464.16,58.67,-35.92
599.48,53.50,-32.28
774.26,49.46,-28.87
1000.00,46.27,-25.69
1291.55,43.71,-22.96
1668.10,41.62,-20.69
2154.43,39.95,-18.88
2782.56,38.46,-17.54
3593.81,37.01,-16.67
4641.59,35.55,-16.09
5994.84,34.05,-15.64
7742.64,32.47,-15.10
10000.00,31.00,-14.30
12915.50,29.59,-13.18
16681.01,28.42,-12.02
21544.35,27.49,-10.68
27825.59,26.81,-9.08
35938.14,26.28,-8.03
46415.89,25.76,-7.10
59948.43,25.44,-6.21
77426.37,25.18,-5.36
100000.00,25.02,-4.75


Well: C1 - MDCK II
Spectrum: Run.30 measured at 12/01/2008 6:21:21 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7058.11,-81.14
1.29,5593.96,-81.39
1.67,4403.84,-81.24
2.15,3476.59,-81.29
2.78,2735.87,-80.83
3.59,2168.73,-80.83
4.64,1717.54,-80.30
5.99,1367.45,-80.15
7.74,1078.97,-78.57
10.00,871.24,-77.75
12.92,688.07,-76.68
16.68,550.41,-75.20
21.54,439.71,-73.44
27.83,353.17,-71.38
35.94,285.25,-69.06
46.42,232.75,-66.35
59.95,191.71,-63.26
77.43,159.01,-60.13
100.00,133.55,-56.63
129.15,114.01,-53.03
166.81,98.12,-49.39
215.44,85.66,-45.74
278.26,75.66,-42.01
359.38,67.55,-38.34
464.16,61.23,-34.78
599.48,56.07,-31.31
774.26,52.02,-28.17
1000.00,48.79,-25.46
1291.55,46.20,-23.01
1668.10,43.94,-21.16
2154.43,42.08,-19.77
2782.56,40.31,-18.80
3593.81,38.50,-18.26
4641.59,36.61,-17.85
5994.84,34.71,-17.46
7742.64,32.86,-16.75
10000.00,31.13,-15.76
12915.50,29.61,-14.29
16681.01,28.35,-12.78
21544.35,27.45,-11.18
27825.59,26.75,-9.49
35938.14,26.18,-8.20
46415.89,25.67,-7.20
59948.43,25.35,-6.15
77426.37,25.12,-5.36
100000.00,24.92,-4.63


Well: C1 - MDCK II
Spectrum: Run.31 measured at 12/01/2008 6:54:34 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7041.59,-81.20
1.29,5579.88,-81.22
1.67,4391.61,-81.26
2.15,3482.10,-81.15
2.78,2760.52,-80.91
3.59,2176.64,-80.85
4.64,1735.42,-79.71
5.99,1374.22,-79.65
7.74,1084.68,-79.43
10.00,863.76,-77.74
12.92,685.92,-76.04
16.68,545.80,-74.56
21.54,439.79,-73.15
27.83,353.74,-71.12
35.94,286.12,-68.50
46.42,233.09,-65.61
59.95,192.95,-62.58
77.43,160.44,-59.18
100.00,135.51,-55.51
129.15,115.87,-51.88
166.81,100.35,-48.15
215.44,88.06,-44.40
278.26,78.15,-40.63
359.38,70.37,-37.07
464.16,64.11,-33.68
599.48,59.07,-30.53
774.26,55.02,-27.74
1000.00,51.72,-25.34
1291.55,48.97,-23.39
1668.10,46.56,-21.91
2154.43,44.35,-20.95
2782.56,42.21,-20.43
3593.81,39.97,-20.15
4641.59,37.71,-19.94
5994.84,35.39,-19.43
7742.64,33.21,-18.51
10000.00,31.24,-17.19
12915.50,29.59,-15.48
16681.01,28.30,-13.66
21544.35,27.37,-11.83
27825.59,26.68,-10.02
35938.14,26.06,-8.71
46415.89,25.62,-7.55
59948.43,25.31,-6.55
77426.37,25.04,-5.67
100000.00,24.97,-4.92


Well: C1 - MDCK II
Spectrum: Run.32 measured at 12/01/2008 7:27:47 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7031.30,-81.42
1.29,5546.01,-81.10
1.67,4396.72,-81.14
2.15,3486.33,-80.91
2.78,2778.80,-80.60
3.59,2191.00,-80.31
4.64,1722.50,-79.82
5.99,1365.74,-78.63
7.74,1080.37,-78.21
10.00,867.40,-77.27
12.92,687.06,-75.81
16.68,551.18,-74.20
21.54,442.03,-72.58
27.83,354.54,-70.43
35.94,286.68,-67.97
46.42,234.79,-64.93
59.95,193.99,-61.78
77.43,162.48,-58.13
100.00,137.48,-54.39
129.15,118.18,-50.59
166.81,102.86,-46.75
215.44,90.80,-42.93
278.26,81.17,-39.29
359.38,73.52,-35.81
464.16,67.31,-32.61
599.48,62.42,-29.76
774.26,58.22,-27.33
1000.00,54.86,-25.30
1291.55,51.83,-23.79
1668.10,49.22,-22.75
2154.43,46.73,-22.18
2782.56,44.14,-22.02
3593.81,41.43,-21.94
4641.59,38.73,-21.78
5994.84,35.98,-21.19
7742.64,33.52,-20.08
10000.00,31.37,-18.40
12915.50,29.62,-16.41
16681.01,28.31,-14.29
21544.35,27.33,-12.26
27825.59,26.61,-10.28
35938.14,26.06,-8.76
46415.89,25.53,-7.55
59948.43,25.32,-6.41
77426.37,25.10,-5.59
100000.00,24.91,-4.86


Well: C1 - MDCK II
Spectrum: Run.33 measured at 12/01/2008 8:01:00 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7010.67,-81.19
1.29,5554.01,-81.37
1.67,4389.59,-81.09
2.15,3470.73,-81.17
2.78,2736.42,-81.16
3.59,2172.46,-80.90
4.64,1717.23,-79.72
5.99,1377.67,-79.05
7.74,1079.23,-78.47
10.00,870.37,-76.56
12.92,687.90,-75.62
16.68,549.01,-74.11
21.54,440.58,-72.13
27.83,355.50,-69.62
35.94,288.53,-67.17
46.42,235.72,-64.05
59.95,196.41,-60.64
77.43,164.14,-57.00
100.00,139.86,-53.17
129.15,120.50,-49.17
166.81,105.56,-45.30
215.44,93.87,-41.57
278.26,84.38,-37.97
359.38,76.82,-34.64
464.16,70.72,-31.75
599.48,65.72,-29.18
774.26,61.63,-27.14
1000.00,58.01,-25.53
1291.55,54.86,-24.37
1668.10,51.85,-23.79
2154.43,48.91,-23.64
2782.56,45.83,-23.74
3593.81,42.63,-23.80
4641.59,39.37,-23.65
5994.84,36.28,-22.91
7742.64,33.56,-21.54
10000.00,31.25,-19.54
12915.50,29.45,-17.22
16681.01,28.10,-14.89
21544.35,27.12,-12.74
27825.59,26.48,-10.57
35938.14,25.91,-8.90
46415.89,25.43,-7.67
59948.43,25.11,-6.58
77426.37,24.97,-5.66
100000.00,24.81,-4.90


Well: C1 - MDCK II
Spectrum: Run.34 measured at 12/01/2008 8:34:13 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7029.73,-81.14
1.29,5570.52,-81.08
1.67,4397.15,-81.11
2.15,3488.98,-80.73
2.78,2769.84,-80.21
3.59,2155.18,-79.49
4.64,1711.58,-79.22
5.99,1367.62,-78.44
7.74,1086.21,-77.63
10.00,866.90,-77.31
12.92,689.59,-75.16
16.68,553.18,-73.79
21.54,442.40,-71.44
27.83,357.43,-69.27
35.94,290.12,-66.53
46.42,238.27,-63.19
59.95,198.29,-59.70
77.43,166.60,-55.86
100.00,142.57,-51.95
129.15,123.59,-47.85
166.81,108.92,-43.93
215.44,97.37,-40.20
278.26,88.05,-36.74
359.38,80.74,-33.63
464.16,74.70,-30.94
599.48,69.74,-28.74
774.26,65.44,-27.01
1000.00,61.59,-25.90
1291.55,58.18,-25.23
1668.10,54.77,-25.02
2154.43,51.29,-25.26
2782.56,47.67,-25.64
3593.81,43.87,-25.88
4641.59,40.15,-25.60
5994.84,36.70,-24.61
7742.64,33.72,-22.95
10000.00,31.29,-20.63
12915.50,29.44,-18.06
16681.01,28.05,-15.58
21544.35,27.06,-13.16
27825.59,26.45,-10.86
35938.14,25.90,-9.12
46415.89,25.43,-7.84
59948.43,25.15,-6.60
77426.37,24.97,-5.57
100000.00,24.85,-4.79


Well: C1 - MDCK II
Spectrum: Run.35 measured at 12/01/2008 9:07:27 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6999.19,-80.97
1.29,5561.07,-81.11
1.67,4372.91,-81.27
2.15,3489.88,-80.81
2.78,2745.74,-80.69
3.59,2169.25,-80.30
4.64,1725.30,-79.55
5.99,1360.55,-78.47
7.74,1071.87,-78.64
10.00,871.13,-75.81
12.92,690.62,-74.68
16.68,550.83,-73.05
21.54,444.61,-70.74
27.83,357.63,-68.57
35.94,291.38,-65.51
46.42,240.30,-62.27
59.95,199.89,-58.52
77.43,169.41,-54.43
100.00,145.41,-50.41
129.15,126.91,-46.42
166.81,112.52,-42.46
215.44,101.02,-38.72
278.26,92.11,-35.46
359.38,84.73,-32.60
464.16,78.79,-30.23
599.48,73.67,-28.32
774.26,69.29,-27.04
1000.00,65.18,-26.30
1291.55,61.40,-26.08
1668.10,57.48,-26.38
2154.43,53.41,-26.97
2782.56,49.22,-27.53
3593.81,44.85,-27.81
4641.59,40.58,-27.43
5994.84,36.81,-26.19
7742.64,33.61,-24.14
10000.00,31.14,-21.54
12915.50,29.22,-18.68
16681.01,27.83,-15.92
21544.35,26.89,-13.39
27825.59,26.24,-10.92
35938.14,25.74,-9.19
46415.89,25.27,-7.76
59948.43,24.97,-6.55
77426.37,24.81,-5.52
100000.00,24.77,-4.81


Well: C1 - MDCK II
Spectrum: Run.36 measured at 12/01/2008 9:40:40 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6985.72,-81.24
1.29,5552.27,-81.13
1.67,4363.95,-81.05
2.15,3486.25,-80.36
2.78,2731.49,-80.40
3.59,2189.77,-80.36
4.64,1701.05,-79.81
5.99,1357.40,-78.49
7.74,1071.15,-78.20
10.00,866.77,-76.03
12.92,690.62,-74.51
16.68,552.88,-72.34
21.54,445.31,-70.42
27.83,361.77,-67.90
35.94,293.64,-64.66
46.42,242.04,-61.13
59.95,202.43,-57.36
77.43,172.16,-53.32
100.00,148.84,-49.09
129.15,130.54,-45.07
166.81,116.25,-41.17
215.44,105.17,-37.60
278.26,96.30,-34.34
359.38,89.15,-31.78
464.16,83.15,-29.69
599.48,78.04,-28.16
774.26,73.50,-27.28
1000.00,69.20,-27.01
1291.55,64.82,-27.27
1668.10,60.35,-27.95
2154.43,55.66,-28.86
2782.56,50.70,-29.62
3593.81,45.71,-29.83
4641.59,41.03,-29.30
5994.84,36.91,-27.80
7742.64,33.56,-25.39
10000.00,31.03,-22.52
12915.50,29.13,-19.44
16681.01,27.74,-16.48
21544.35,26.75,-13.74
27825.59,26.13,-11.28
35938.14,25.70,-9.38
46415.89,25.21,-7.89
59948.43,24.96,-6.73
77426.37,24.79,-5.67
100000.00,24.68,-4.89


Well: C1 - MDCK II
Spectrum: Run.37 measured at 12/01/2008 10:13:54 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7009.54,-81.34
1.29,5526.47,-81.19
1.67,4366.54,-81.03
2.15,3475.84,-80.83
2.78,2749.65,-80.18
3.59,2165.99,-80.25
4.64,1720.90,-79.83
5.99,1368.05,-78.68
7.74,1078.13,-77.42
10.00,867.25,-74.87
12.92,691.51,-73.94
16.68,553.43,-71.75
21.54,444.48,-69.80
27.83,361.13,-66.97
35.94,295.54,-63.77
46.42,244.74,-60.31
59.95,205.71,-56.08
77.43,175.47,-52.11
100.00,152.60,-47.83
129.15,134.44,-43.68
166.81,120.39,-39.76
215.44,109.58,-36.39
278.26,100.97,-33.40
359.38,93.92,-31.02
464.16,87.91,-29.20
599.48,82.68,-28.09
774.26,77.88,-27.62
1000.00,73.12,-27.75
1291.55,68.31,-28.50
1668.10,63.19,-29.54
2154.43,57.76,-30.72
2782.56,52.05,-31.62
3593.81,46.44,-31.75
4641.59,41.39,-30.91
5994.84,36.99,-29.08
7742.64,33.60,-26.47
10000.00,30.89,-23.27
12915.50,29.00,-20.00
16681.01,27.64,-16.83
21544.35,26.67,-13.98
27825.59,26.05,-11.32
35938.14,25.63,-9.48
46415.89,25.16,-7.97
59948.43,24.91,-6.77
77426.37,24.76,-5.79
100000.00,24.70,-4.92


Well: C1 - MDCK II
Spectrum: Run.38 measured at 12/01/2008 10:47:07 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6968.12,-81.06
1.29,5550.72,-80.90
1.67,4347.79,-81.22
2.15,3467.31,-80.19
2.78,2751.25,-80.28
3.59,2183.40,-79.95
4.64,1714.17,-78.67
5.99,1356.89,-77.94
7.74,1068.48,-76.67
10.00,868.40,-75.46
12.92,685.24,-73.22
16.68,552.76,-71.49
21.54,448.31,-68.86
27.83,363.50,-66.05
35.94,298.40,-62.89
46.42,247.53,-58.98
59.95,209.03,-54.90
77.43,178.92,-50.72
100.00,156.10,-46.41
129.15,138.52,-42.38
166.81,124.95,-38.53
215.44,114.19,-35.18
278.26,105.76,-32.40
359.38,98.73,-30.32
464.16,92.74,-28.89
599.48,87.36,-28.20
774.26,82.24,-28.12
1000.00,77.05,-28.69
1291.55,71.59,-29.83
1668.10,65.71,-31.23
2154.43,59.45,-32.63
2782.56,53.05,-33.45
3593.81,46.96,-33.49
4641.59,41.56,-32.41
5994.84,37.00,-30.20
7742.64,33.47,-27.27
10000.00,30.81,-23.83
12915.50,28.93,-20.29
16681.01,27.58,-17.01
21544.35,26.62,-14.08
27825.59,26.00,-11.41
35938.14,25.53,-9.44
46415.89,25.17,-7.93
59948.43,24.89,-6.66
77426.37,24.78,-5.65
100000.00,24.66,-4.84


Well: C1 - MDCK II
Spectrum: Run.39 measured at 12/01/2008 11:20:20 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6940.29,-81.18
1.29,5538.95,-80.69
1.67,4365.33,-80.52
2.15,3463.89,-80.58
2.78,2742.46,-79.71
3.59,2163.17,-79.96
4.64,1715.68,-79.07
5.99,1350.86,-77.46
7.74,1074.98,-76.73
10.00,875.04,-74.81
12.92,692.65,-72.78
16.68,558.43,-70.87
21.54,449.29,-68.42
27.83,366.00,-65.33
35.94,300.75,-61.86
46.42,251.11,-57.85
59.95,213.04,-53.73
77.43,183.29,-49.40
100.00,161.26,-45.09
129.15,143.36,-40.91
166.81,130.21,-37.28
215.44,119.58,-34.15
278.26,111.22,-31.63
359.38,104.07,-29.85
464.16,98.10,-28.68
599.48,92.50,-28.40
774.26,87.02,-28.75
1000.00,81.29,-29.74
1291.55,75.04,-31.30
1668.10,68.34,-32.99
2154.43,61.18,-34.50
2782.56,54.09,-35.34
3593.81,47.45,-35.15
4641.59,41.65,-33.75
5994.84,36.95,-31.28
7742.64,33.32,-27.94
10000.00,30.68,-24.28
12915.50,28.75,-20.54
16681.01,27.39,-17.20
21544.35,26.51,-14.11
27825.59,25.95,-11.43
35938.14,25.54,-9.45
46415.89,25.14,-7.94
59948.43,24.88,-6.61
77426.37,24.80,-5.64
100000.00,24.69,-4.78


Well: C1 - MDCK II
Spectrum: Run.40 measured at 12/01/2008 11:53:34 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6983.04,-81.31
1.29,5532.80,-81.09
1.67,4366.23,-80.87
2.15,3454.27,-80.27
2.78,2724.25,-79.87
3.59,2164.75,-79.57
4.64,1688.81,-78.75
5.99,1380.29,-77.99
7.74,1079.21,-76.27
10.00,868.74,-74.06
